filepath,xmin,xmax,ymin,ymax
d:\Project/DataSet/images\C139.xml,64,284,115,170
d:\Project/DataSet/images\C14.xml,145,243,146,238
d:\Project/DataSet/images\C140.xml,66,222,80,146
d:\Project/DataSet/images\C141.xml,95,331,106,172
d:\Project/DataSet/images\C142.xml,29,255,101,153
d:\Project/DataSet/images\C143.xml,99,280,67,117
d:\Project/DataSet/images\C144.xml,180,283,80,179
d:\Project/DataSet/images\C145.xml,123,313,96,149
d:\Project/DataSet/images\C146.xml,59,249,121,190
d:\Project/DataSet/images\C147.xml,118,267,171,207
d:\Project/DataSet/images\C148.xml,140,279,106,143
d:\Project/DataSet/images\C149.xml,148,286,164,197
d:\Project/DataSet/images\C15.xml,160,250,71,100
d:\Project/DataSet/images\C150.xml,139,208,112,160
d:\Project/DataSet/images\C151.xml,173,241,54,103
d:\Project/DataSet/images\C152.xml,117,281,101,143
d:\Project/DataSet/images\C154.xml,44,340,168,225
d:\Project/DataSet/images\C155.xml,115,296,86,127
d:\Project/DataSet/images\C156.xml,66,285,107,163
d:\Project/DataSet/images\C157.xml,110,201,54,158
d:\Project/DataSet/images\C158.xml,144,255,25,156
d:\Project/DataSet/images\C159.xml,132,242,40,168
d:\Project/DataSet/images\C16.xml,145,250,112,144
d:\Project/DataSet/images\C160.xml,109,200,56,158
d:\Project/DataSet/images\C161.xml,75,291,92,146
d:\Project/DataSet/images\C162.xml,30,304,135,237
d:\Project/DataSet/images\C163.xml,125,281,61,164
d:\Project/DataSet/images\C164.xml,141,304,128,174
d:\Project/DataSet/images\C165.xml,161,329,110,159
d:\Project/DataSet/images\C166.xml,158,277,111,146
d:\Project/DataSet/images\C167.xml,166,319,94,141
d:\Project/DataSet/images\C168.xml,202,264,77,127
d:\Project/DataSet/images\C169.xml,225,281,106,156
d:\Project/DataSet/images\C17.xml,146,221,124,166
d:\Project/DataSet/images\C170.xml,138,295,128,206
d:\Project/DataSet/images\C171.xml,83,330,102,199
d:\Project/DataSet/images\C172.xml,225,280,105,157
d:\Project/DataSet/images\C173.xml,162,288,65,104
d:\Project/DataSet/images\C174.xml,92,318,62,129
d:\Project/DataSet/images\C175.xml,131,350,47,113
d:\Project/DataSet/images\C176.xml,71,290,140,188
d:\Project/DataSet/images\C177.xml,114,328,91,149
d:\Project/DataSet/images\C178.xml,9,259,153,223
d:\Project/DataSet/images\C179.xml,100,288,110,162
d:\Project/DataSet/images\C18.xml,12,395,85,220
d:\Project/DataSet/images\C180.xml,117,322,91,138
d:\Project/DataSet/images\C181.xml,99,287,57,114
d:\Project/DataSet/images\C182.xml,76,427,102,184
d:\Project/DataSet/images\C183.xml,163,419,171,225
d:\Project/DataSet/images\C184.xml,86,349,50,204
d:\Project/DataSet/images\C185.xml,127,211,52,100
d:\Project/DataSet/images\C186.xml,119,206,32,87
d:\Project/DataSet/images\C187.xml,121,247,97,198
d:\Project/DataSet/images\C188.xml,178,277,77,182
d:\Project/DataSet/images\C189.xml,126,242,40,105
d:\Project/DataSet/images\C19.xml,130,260,145,187
d:\Project/DataSet/images\C190.xml,52,287,77,156
d:\Project/DataSet/images\C191.xml,127,323,44,96
d:\Project/DataSet/images\C192.xml,84,284,60,105
d:\Project/DataSet/images\C193.xml,116,258,91,149
d:\Project/DataSet/images\C194.xml,156,219,71,136
d:\Project/DataSet/images\C195.xml,134,187,103,150
d:\Project/DataSet/images\C196.xml,134,322,63,132
d:\Project/DataSet/images\C197.xml,105,257,65,112
d:\Project/DataSet/images\C198.xml,79,269,90,151
d:\Project/DataSet/images\C199.xml,87,178,63,137
d:\Project/DataSet/images\C2.xml,162,379,191,331
d:\Project/DataSet/images\C20.xml,129,251,123,160
d:\Project/DataSet/images\C200.xml,112,190,88,154
d:\Project/DataSet/images\C201.xml,137,211,95,167
d:\Project/DataSet/images\C202.xml,116,442,108,167
d:\Project/DataSet/images\C203.xml,137,297,113,187
d:\Project/DataSet/images\C204.xml,64,250,68,159
d:\Project/DataSet/images\C205.xml,151,264,123,159
d:\Project/DataSet/images\C206.xml,172,300,85,132
d:\Project/DataSet/images\C207.xml,156,302,57,102
d:\Project/DataSet/images\C208.xml,112,267,90,182
d:\Project/DataSet/images\C209.xml,165,215,110,153
d:\Project/DataSet/images\C21.xml,74,295,29,97
d:\Project/DataSet/images\C210.xml,109,311,79,130
d:\Project/DataSet/images\C211.xml,157,285,36,73
d:\Project/DataSet/images\C212.xml,87,269,84,128
d:\Project/DataSet/images\C213.xml,102,302,126,173
d:\Project/DataSet/images\C214.xml,87,296,86,135
d:\Project/DataSet/images\C215.xml,98,292,40,95
d:\Project/DataSet/images\C216.xml,124,286,56,96
d:\Project/DataSet/images\C217.xml,91,261,78,127
d:\Project/DataSet/images\C218.xml,106,284,81,128
d:\Project/DataSet/images\C219.xml,143,276,72,172
d:\Project/DataSet/images\C22.xml,89,312,79,130
d:\Project/DataSet/images\C220.xml,135,287,118,163
d:\Project/DataSet/images\C221.xml,96,328,138,184
d:\Project/DataSet/images\C222.xml,135,298,123,203
d:\Project/DataSet/images\C223.xml,143,295,159,216
d:\Project/DataSet/images\C224.xml,121,254,50,112
d:\Project/DataSet/images\C225.xml,155,248,75,121
d:\Project/DataSet/images\C226.xml,122,262,124,196
d:\Project/DataSet/images\C227.xml,131,322,109,174
d:\Project/DataSet/images\C228.xml,89,280,130,181
d:\Project/DataSet/images\C229.xml,142,292,73,111
d:\Project/DataSet/images\C23.xml,100,276,72,128
d:\Project/DataSet/images\C230.xml,112,239,167,253
d:\Project/DataSet/images\C231.xml,124,296,160,197
d:\Project/DataSet/images\C232.xml,112,325,148,190
d:\Project/DataSet/images\C233.xml,138,306,131,195
d:\Project/DataSet/images\C234.xml,129,293,83,123
d:\Project/DataSet/images\C235.xml,114,262,29,70
d:\Project/DataSet/images\C236.xml,42,336,75,135
d:\Project/DataSet/images\C237.xml,161,260,116,191
d:\Project/DataSet/images\C238.xml,154,261,70,148
d:\Project/DataSet/images\C239.xml,124,221,179,255
d:\Project/DataSet/images\C24.xml,95,272,129,189
d:\Project/DataSet/images\C240.xml,163,248,107,174
d:\Project/DataSet/images\C241.xml,144,232,74,143
d:\Project/DataSet/images\C242.xml,129,293,95,143
d:\Project/DataSet/images\C243.xml,94,337,132,184
d:\Project/DataSet/images\C244.xml,163,314,72,112
d:\Project/DataSet/images\C245.xml,112,275,120,175
d:\Project/DataSet/images\C246.xml,150,285,165,197
d:\Project/DataSet/images\C247.xml,85,211,41,202
d:\Project/DataSet/images\C248.xml,233,322,118,156
d:\Project/DataSet/images\C249.xml,165,320,54,119
d:\Project/DataSet/images\C25.xml,100,280,66,117
d:\Project/DataSet/images\C250.xml,178,262,35,100
d:\Project/DataSet/images\C251.xml,166,319,54,119
d:\Project/DataSet/images\C252.xml,74,345,96,190
d:\Project/DataSet/images\C253.xml,130,336,63,114
d:\Project/DataSet/images\C254.xml,177,260,85,160
d:\Project/DataSet/images\C255.xml,119,322,66,116
d:\Project/DataSet/images\C256.xml,137,294,112,185
d:\Project/DataSet/images\C257.xml,120,205,33,89
d:\Project/DataSet/images\C258.xml,144,255,25,155
d:\Project/DataSet/images\C259.xml,142,275,72,172
d:\Project/DataSet/images\C26.xml,166,236,81,146
d:\Project/DataSet/images\C260.xml,137,296,129,206
d:\Project/DataSet/images\C261.xml,74,292,92,148
d:\Project/DataSet/images\C262.xml,1,302,83,152
d:\Project/DataSet/images\C264.xml,99,287,110,162
d:\Project/DataSet/images\C265.xml,28,303,134,237
d:\Project/DataSet/images\C266.xml,137,319,63,131
d:\Project/DataSet/images\C268.xml,92,295,33,106
d:\Project/DataSet/images\C269.xml,119,288,164,209
d:\Project/DataSet/images\C27.xml,135,221,119,184
d:\Project/DataSet/images\C270.xml,150,246,71,147
d:\Project/DataSet/images\C271.xml,98,251,69,120
d:\Project/DataSet/images\C272.xml,80,315,14,104
d:\Project/DataSet/images\C273.xml,83,244,24,193
d:\Project/DataSet/images\C274.xml,144,270,131,223
d:\Project/DataSet/images\C275.xml,174,346,135,245
d:\Project/DataSet/images\C276.xml,177,337,137,226
d:\Project/DataSet/images\C277.xml,71,298,73,151
d:\Project/DataSet/images\C278.xml,131,292,127,172
d:\Project/DataSet/images\C279.xml,114,281,91,136
d:\Project/DataSet/images\C28.xml,90,246,89,138
d:\Project/DataSet/images\C280.xml,141,200,90,156
d:\Project/DataSet/images\C281.xml,114,179,106,171
d:\Project/DataSet/images\C282.xml,180,253,148,227
d:\Project/DataSet/images\C283.xml,136,287,126,174
d:\Project/DataSet/images\C284.xml,162,264,65,123
d:\Project/DataSet/images\C285.xml,177,285,60,118
d:\Project/DataSet/images\C286.xml,133,251,133,163
d:\Project/DataSet/images\C287.xml,136,259,12,132
d:\Project/DataSet/images\C288.xml,98,340,48,212
d:\Project/DataSet/images\C3.xml,185,312,168,253
d:\Project/DataSet/images\C30.xml,53,244,74,132
d:\Project/DataSet/images\C31.xml,90,192,37,124
d:\Project/DataSet/images\C32.xml,59,250,121,190
d:\Project/DataSet/images\C33.xml,85,204,96,189
d:\Project/DataSet/images\C34.xml,34,244,67,216
d:\Project/DataSet/images\C35.xml,127,233,29,114
d:\Project/DataSet/images\C36.xml,122,229,29,149
d:\Project/DataSet/images\C38.xml,198,278,27,152
d:\Project/DataSet/images\C39.xml,114,253,133,223
d:\Project/DataSet/images\C4.xml,158,349,120,246
d:\Project/DataSet/images\C40.xml,68,254,30,135
d:\Project/DataSet/images\C41.xml,121,280,72,176
d:\Project/DataSet/images\C42.xml,95,304,133,177
d:\Project/DataSet/images\C43.xml,41,221,116,210
d:\Project/DataSet/images\C44.xml,110,278,21,109
d:\Project/DataSet/images\C45.xml,122,253,26,143
d:\Project/DataSet/images\C46.xml,81,276,87,153
d:\Project/DataSet/images\C47.xml,65,214,51,101
d:\Project/DataSet/images\C48.xml,57,235,36,95
d:\Project/DataSet/images\C49.xml,72,223,135,195
d:\Project/DataSet/images\C5.xml,96,406,277,358
d:\Project/DataSet/images\C50.xml,115,283,74,121
d:\Project/DataSet/images\C51.xml,118,240,87,194
d:\Project/DataSet/images\C52.xml,122,253,33,153
d:\Project/DataSet/images\C53.xml,23,256,72,132
d:\Project/DataSet/images\C54.xml,93,331,107,172
d:\Project/DataSet/images\C55.xml,54,284,28,120
d:\Project/DataSet/images\C56.xml,29,280,30,114
d:\Project/DataSet/images\C57.xml,76,271,71,127
d:\Project/DataSet/images\C58.xml,180,282,79,179
d:\Project/DataSet/images\C59.xml,159,300,130,187
d:\Project/DataSet/images\C6.xml,164,350,294,340
d:\Project/DataSet/images\C60.xml,99,271,38,141
d:\Project/DataSet/images\C61.xml,173,306,10,75
d:\Project/DataSet/images\C62.xml,176,275,112,146
d:\Project/DataSet/images\C63.xml,163,265,79,122
d:\Project/DataSet/images\C64.xml,94,231,41,142
d:\Project/DataSet/images\C65.xml,143,281,75,190
d:\Project/DataSet/images\C66.xml,121,312,95,152
d:\Project/DataSet/images\C67.xml,132,220,79,155
d:\Project/DataSet/images\C68.xml,64,248,73,156
d:\Project/DataSet/images\C69.xml,77,259,122,178
d:\Project/DataSet/images\C7.xml,135,280,100,148
d:\Project/DataSet/images\C70.xml,182,276,39,74
d:\Project/DataSet/images\C71.xml,144,254,45,104
d:\Project/DataSet/images\C72.xml,55,255,143,184
d:\Project/DataSet/images\C73.xml,85,232,6,136
d:\Project/DataSet/images\C74.xml,97,286,131,188
d:\Project/DataSet/images\C75.xml,47,276,126,184
d:\Project/DataSet/images\C76.xml,122,312,96,152
d:\Project/DataSet/images\C77.xml,56,270,144,226
d:\Project/DataSet/images\C78.xml,116,305,5,198
d:\Project/DataSet/images\C79.xml,109,306,8,201
d:\Project/DataSet/images\C8.xml,133,280,148,194
d:\Project/DataSet/images\C80.xml,97,248,65,112
d:\Project/DataSet/images\C81.xml,84,253,70,150
d:\Project/DataSet/images\C82.xml,126,248,62,145
d:\Project/DataSet/images\C83.xml,114,351,50,270
d:\Project/DataSet/images\C84.xml,93,263,26,92
d:\Project/DataSet/images\C85.xml,83,279,50,119
d:\Project/DataSet/images\C86.xml,134,220,52,85
d:\Project/DataSet/images\C87.xml,166,234,71,98
d:\Project/DataSet/images\C88.xml,101,265,56,122
d:\Project/DataSet/images\C89.xml,94,263,62,122
d:\Project/DataSet/images\C9.xml,118,249,16,58
d:\Project/DataSet/images\C90.xml,134,251,60,154
d:\Project/DataSet/images\C91.xml,163,255,46,125
d:\Project/DataSet/images\C92.xml,114,237,42,152
d:\Project/DataSet/images\C93.xml,118,222,46,131
d:\Project/DataSet/images\C94.xml,164,250,96,169
d:\Project/DataSet/images\C95.xml,118,231,26,81
d:\Project/DataSet/images\C96.xml,117,312,59,120
d:\Project/DataSet/images\C97.xml,78,326,35,155
d:\Project/DataSet/images\C98.xml,113,263,45,128
d:\Project/DataSet/images\C99.xml,146,226,22,150
d:\Project/DataSet/images\N1.xml,1093,1396,645,727
d:\Project/DataSet/images\N100.xml,134,301,312,350
d:\Project/DataSet/images\N101.xml,31,139,128,161
d:\Project/DataSet/images\N102.xml,164,316,216,243
d:\Project/DataSet/images\N103.xml,813,1067,665,724
d:\Project/DataSet/images\N104.xml,66,154,166,197
d:\Project/DataSet/images\N105.xml,360,434,174,195
d:\Project/DataSet/images\N106.xml,137,262,249,290
d:\Project/DataSet/images\N107.xml,207,356,174,287
d:\Project/DataSet/images\N108.xml,184,342,220,257
d:\Project/DataSet/images\N109.xml,148,239,250,320
d:\Project/DataSet/images\N11.xml,131,187,130,144
d:\Project/DataSet/images\N110.xml,183,249,211,227
d:\Project/DataSet/images\N111.xml,80,239,364,402
d:\Project/DataSet/images\N112.xml,179,347,256,290
d:\Project/DataSet/images\N113.xml,39,108,129,157
d:\Project/DataSet/images\N114.xml,15,200,33,126
d:\Project/DataSet/images\N116.xml,157,316,226,278
d:\Project/DataSet/images\N117.xml,120,249,161,202
d:\Project/DataSet/images\N118.xml,532,852,636,706
d:\Project/DataSet/images\N119.xml,180,559,216,314
d:\Project/DataSet/images\N12.xml,976,1284,669,754
d:\Project/DataSet/images\N120.xml,647,736,332,387
d:\Project/DataSet/images\N121.xml,311,506,324,370
d:\Project/DataSet/images\N122.xml,342,494,243,288
d:\Project/DataSet/images\N123.xml,11,246,78,165
d:\Project/DataSet/images\N124.xml,165,328,276,324
d:\Project/DataSet/images\N126.xml,149,399,269,327
d:\Project/DataSet/images\N127.xml,24,142,209,245
d:\Project/DataSet/images\N128.xml,58,221,198,271
d:\Project/DataSet/images\N129.xml,301,504,351,402
d:\Project/DataSet/images\N130.xml,419,513,173,213
d:\Project/DataSet/images\N131.xml,198,349,107,143
d:\Project/DataSet/images\N132.xml,111,320,133,286
d:\Project/DataSet/images\N133.xml,795,1095,751,840
d:\Project/DataSet/images\N134.xml,230,365,188,219
d:\Project/DataSet/images\N135.xml,157,341,197,247
d:\Project/DataSet/images\N136.xml,787,910,473,513
d:\Project/DataSet/images\N137.xml,401,593,456,493
d:\Project/DataSet/images\N138.xml,36,465,64,168
d:\Project/DataSet/images\N139.xml,341,607,954,1011
d:\Project/DataSet/images\N14.xml,1058,1351,660,756
d:\Project/DataSet/images\N140.xml,346,423,197,221
d:\Project/DataSet/images\N141.xml,150,348,255,296
d:\Project/DataSet/images\N142.xml,66,174,234,259
d:\Project/DataSet/images\N143.xml,115,524,144,296
d:\Project/DataSet/images\N144.xml,39,177,201,275
d:\Project/DataSet/images\N145.xml,233,432,88,151
d:\Project/DataSet/images\N147.xml,424,613,548,591
d:\Project/DataSet/images\N148.xml,244,369,240,293
d:\Project/DataSet/images\N149.xml,186,324,116,148
d:\Project/DataSet/images\N15.xml,582,853,622,691
d:\Project/DataSet/images\N150.xml,172,372,97,143
d:\Project/DataSet/images\N151.xml,144,277,216,252
d:\Project/DataSet/images\N152.xml,265,725,247,347
d:\Project/DataSet/images\N153.xml,133,279,352,385
d:\Project/DataSet/images\N154.xml,106,245,157,196
d:\Project/DataSet/images\N155.xml,145,313,167,201
d:\Project/DataSet/images\N156.xml,49,106,230,249
d:\Project/DataSet/images\N158.xml,122,224,268,292
d:\Project/DataSet/images\N16.xml,887,1173,625,696
d:\Project/DataSet/images\N160.xml,153,251,196,217
d:\Project/DataSet/images\N162.xml,147,336,169,209
d:\Project/DataSet/images\N163.xml,230,316,203,231
d:\Project/DataSet/images\N164.xml,248,421,121,174
d:\Project/DataSet/images\N165.xml,186,374,290,335
d:\Project/DataSet/images\N166.xml,809,1034,246,295
d:\Project/DataSet/images\N167.xml,345,848,242,416
d:\Project/DataSet/images\N168.xml,271,474,514,561
d:\Project/DataSet/images\N169.xml,167,413,208,263
d:\Project/DataSet/images\N17.xml,88,216,507,556
d:\Project/DataSet/images\N170.xml,299,442,337,386
d:\Project/DataSet/images\N171.xml,13,444,137,270
d:\Project/DataSet/images\N172.xml,147,370,133,184
d:\Project/DataSet/images\N173.xml,80,335,150,243
d:\Project/DataSet/images\N174.xml,315,665,442,531
d:\Project/DataSet/images\N175.xml,183,250,205,229
d:\Project/DataSet/images\N176.xml,195,383,320,358
d:\Project/DataSet/images\N177.xml,331,538,263,317
d:\Project/DataSet/images\N178.xml,210,335,289,351
d:\Project/DataSet/images\N179.xml,203,297,217,240
d:\Project/DataSet/images\N18.xml,373,528,366,408
d:\Project/DataSet/images\N181.xml,361,499,381,432
d:\Project/DataSet/images\N183.xml,216,343,155,190
d:\Project/DataSet/images\N184.xml,229,1391,204,660
d:\Project/DataSet/images\N185.xml,321,559,420,484
d:\Project/DataSet/images\N186.xml,464,561,286,344
d:\Project/DataSet/images\N187.xml,572,839,461,535
d:\Project/DataSet/images\N188.xml,587,711,760,832
d:\Project/DataSet/images\N189.xml,178,381,121,181
d:\Project/DataSet/images\N19.xml,99,216,367,423
d:\Project/DataSet/images\N190.xml,896,1558,814,969
d:\Project/DataSet/images\N191.xml,317,568,319,397
d:\Project/DataSet/images\N192.xml,543,769,390,461
d:\Project/DataSet/images\N193.xml,274,502,2,59
d:\Project/DataSet/images\N195.xml,186,367,137,232
d:\Project/DataSet/images\N196.xml,119,220,84,111
d:\Project/DataSet/images\N197.xml,120,184,103,130
d:\Project/DataSet/images\N198.xml,214,335,138,169
d:\Project/DataSet/images\N199.xml,45,112,206,255
d:\Project/DataSet/images\N2.xml,1804,2493,1734,1882
d:\Project/DataSet/images\N20.xml,498,796,729,814
d:\Project/DataSet/images\N200.xml,196,442,227,293
d:\Project/DataSet/images\N201.xml,157,290,193,229
d:\Project/DataSet/images\N202.xml,157,329,260,296
d:\Project/DataSet/images\N203.xml,765,1258,821,905
d:\Project/DataSet/images\N204.xml,94,206,307,334
d:\Project/DataSet/images\N205.xml,322,479,169,203
d:\Project/DataSet/images\N206.xml,121,215,120,147
d:\Project/DataSet/images\N207.xml,213,339,280,307
d:\Project/DataSet/images\N208.xml,199,274,203,221
d:\Project/DataSet/images\N209.xml,145,319,200,244
d:\Project/DataSet/images\N21.xml,244,403,221,258
d:\Project/DataSet/images\N210.xml,143,337,210,254
d:\Project/DataSet/images\N211.xml,74,160,149,175
d:\Project/DataSet/images\N212.xml,159,353,115,173
d:\Project/DataSet/images\N213.xml,131,209,129,153
d:\Project/DataSet/images\N214.xml,167,277,189,226
d:\Project/DataSet/images\N215.xml,85,258,390,446
d:\Project/DataSet/images\N216.xml,322,682,300,371
d:\Project/DataSet/images\N217.xml,404,585,429,468
d:\Project/DataSet/images\N218.xml,176,301,212,238
d:\Project/DataSet/images\N219.xml,1,300,92,154
d:\Project/DataSet/images\N22.xml,493,858,885,967
d:\Project/DataSet/images\N220.xml,182,349,238,273
d:\Project/DataSet/images\N221.xml,104,209,153,182
d:\Project/DataSet/images\N222.xml,127,183,122,156
d:\Project/DataSet/images\N223.xml,69,585,79,183
d:\Project/DataSet/images\N224.xml,164,272,223,247
d:\Project/DataSet/images\N225.xml,775,1142,965,1101
d:\Project/DataSet/images\N226.xml,142,343,253,304
d:\Project/DataSet/images\N227.xml,626,768,280,359
d:\Project/DataSet/images\N229.xml,358,1031,294,540
d:\Project/DataSet/images\N23.xml,107,201,264,288
d:\Project/DataSet/images\N230.xml,271,484,332,384
d:\Project/DataSet/images\N231.xml,581,700,273,319
d:\Project/DataSet/images\N232.xml,286,451,216,258
d:\Project/DataSet/images\N233.xml,99,223,20,50
d:\Project/DataSet/images\N234.xml,224,307,158,183
d:\Project/DataSet/images\N235.xml,44,656,128,391
d:\Project/DataSet/images\N236.xml,313,380,111,141
d:\Project/DataSet/images\N237.xml,121,243,163,198
d:\Project/DataSet/images\N238.xml,165,341,129,170
d:\Project/DataSet/images\N239.xml,106,263,238,276
d:\Project/DataSet/images\N24.xml,151,280,193,224
d:\Project/DataSet/images\N240.xml,164,285,99,137
d:\Project/DataSet/images\N241.xml,251,542,308,385
d:\Project/DataSet/images\N242.xml,202,386,190,227
d:\Project/DataSet/images\N244.xml,335,452,313,343
d:\Project/DataSet/images\N245.xml,192,364,279,319
d:\Project/DataSet/images\N246.xml,23,160,261,321
d:\Project/DataSet/images\N247.xml,641,886,518,578
d:\Project/DataSet/images\N248.xml,288,429,248,281
d:\Project/DataSet/images\N25.xml,132,235,169,193
d:\Project/DataSet/images\N27.xml,696,1061,546,677
d:\Project/DataSet/images\N28.xml,738,1009,654,722
d:\Project/DataSet/images\N3.xml,73,260,381,462
d:\Project/DataSet/images\N30.xml,928,1219,543,606
d:\Project/DataSet/images\N31.xml,256,381,233,261
d:\Project/DataSet/images\N32.xml,360,500,171,206
d:\Project/DataSet/images\N33.xml,856,1218,665,751
d:\Project/DataSet/images\N34.xml,576,902,487,596
d:\Project/DataSet/images\N35.xml,97,229,338,378
d:\Project/DataSet/images\N36.xml,392,517,161,213
d:\Project/DataSet/images\N37.xml,77,200,231,290
d:\Project/DataSet/images\N38.xml,397,645,590,641
d:\Project/DataSet/images\N4.xml,1326,1830,1464,1607
d:\Project/DataSet/images\N40.xml,328,580,208,254
d:\Project/DataSet/images\N42.xml,163,373,253,327
d:\Project/DataSet/images\N43.xml,142,298,281,327
d:\Project/DataSet/images\N44.xml,113,257,282,322
d:\Project/DataSet/images\N45.xml,107,256,147,180
d:\Project/DataSet/images\N46.xml,454,797,109,234
d:\Project/DataSet/images\N47.xml,161,313,212,259
d:\Project/DataSet/images\N48.xml,156,335,259,303
d:\Project/DataSet/images\N49.xml,196,352,135,173
d:\Project/DataSet/images\N5.xml,938,1173,709,762
d:\Project/DataSet/images\N50.xml,101,397,223,291
d:\Project/DataSet/images\N51.xml,383,491,212,248
d:\Project/DataSet/images\N52.xml,234,422,254,294
d:\Project/DataSet/images\N53.xml,217,428,147,188
d:\Project/DataSet/images\N54.xml,189,299,162,188
d:\Project/DataSet/images\N56.xml,302,486,265,303
d:\Project/DataSet/images\N57.xml,211,406,161,202
d:\Project/DataSet/images\N58.xml,221,430,190,231
d:\Project/DataSet/images\N59.xml,1238,2468,1012,1269
d:\Project/DataSet/images\N6.xml,858,1122,611,676
d:\Project/DataSet/images\N61.xml,158,350,252,297
d:\Project/DataSet/images\N62.xml,289,421,188,232
d:\Project/DataSet/images\N63.xml,297,422,174,218
d:\Project/DataSet/images\N64.xml,19,94,249,314
d:\Project/DataSet/images\N65.xml,1024,1273,611,680
d:\Project/DataSet/images\N66.xml,163,320,247,280
d:\Project/DataSet/images\N67.xml,164,336,162,195
d:\Project/DataSet/images\N68.xml,319,479,262,295
d:\Project/DataSet/images\N69.xml,637,840,464,549
d:\Project/DataSet/images\N7.xml,1149,1358,649,702
d:\Project/DataSet/images\N70.xml,186,395,376,430
d:\Project/DataSet/images\N72.xml,186,325,177,212
d:\Project/DataSet/images\N73.xml,124,209,102,130
d:\Project/DataSet/images\N74.xml,161,366,210,250
d:\Project/DataSet/images\N75.xml,466,740,680,737
d:\Project/DataSet/images\N77.xml,361,566,190,297
d:\Project/DataSet/images\N78.xml,146,302,160,196
d:\Project/DataSet/images\N79.xml,113,277,288,347
d:\Project/DataSet/images\N8.xml,788,1525,1675,1851
d:\Project/DataSet/images\N80.xml,248,372,116,144
d:\Project/DataSet/images\N81.xml,66,174,302,332
d:\Project/DataSet/images\N82.xml,456,651,722,778
d:\Project/DataSet/images\N84.xml,235,349,319,352
d:\Project/DataSet/images\N85.xml,163,302,357,427
d:\Project/DataSet/images\N86.xml,448,638,273,338
d:\Project/DataSet/images\N88.xml,208,370,89,173
d:\Project/DataSet/images\N89.xml,150,378,217,269
d:\Project/DataSet/images\N9.xml,142,441,55,167
d:\Project/DataSet/images\N90.xml,53,185,206,232
d:\Project/DataSet/images\N91.xml,239,347,187,211
d:\Project/DataSet/images\N92.xml,113,420,209,260
d:\Project/DataSet/images\N93.xml,385,746,293,434
d:\Project/DataSet/images\N94.xml,63,243,234,274
d:\Project/DataSet/images\N95.xml,23,408,173,391
d:\Project/DataSet/images\N96.xml,137,352,141,186
d:\Project/DataSet/images\N97.xml,175,290,228,255
d:\Project/DataSet/images\N98.xml,563,675,207,238
d:\Project/DataSet/images\N99.xml,158,389,129,193
